,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
11,ヤン,ヤン,ヤン,"('名詞', '固有名詞', '人名', '一般', '*', '*')",2,1,
457,ルルル,ルルル,ルルル,"('名詞', '普通名詞', '一般', '*', '*', '*')",24,12,
1996,七坂,ヒチサカ,七坂,"('名詞', '固有名詞', '人名', '姓', '*', '*')",4,25,
626,俺の,オレノ,俺の,"('名詞', '固有名詞', '一般', '*', '*', '*')",13,14,
606,俺の,オレノ,俺の,"('名詞', '固有名詞', '一般', '*', '*', '*')",10,14,
3221,俺の,オレノ,俺の,"('名詞', '固有名詞', '一般', '*', '*', '*')",3,7,
1034,兄弟船,キョウダイブネ,兄弟船,"('名詞', '固有名詞', '一般', '*', '*', '*')",3,18,
1103,兄弟船,キョウダイブネ,兄弟船,"('名詞', '固有名詞', '一般', '*', '*', '*')",13,18,
669,八戸,ハチノヘ,八戸,"('名詞', '固有名詞', '地名', '一般', '*', '*')",6,15,
3211,函館,ハコダテ,函館,"('名詞', '固有名詞', '地名', '一般', '*', '*')",2,7,
702,函館,ハコダテ,函館,"('名詞', '固有名詞', '地名', '一般', '*', '*')",12,15,
3175,北国の春,キタグニノハル,北国の春,"('名詞', '固有名詞', '一般', '*', '*', '*')",12,6,
3134,北国の春,キタグニノハル,北国の春,"('名詞', '固有名詞', '一般', '*', '*', '*')",7,6,
3096,北国の春,キタグニノハル,北国の春,"('名詞', '固有名詞', '一般', '*', '*', '*')",2,6,
677,叩け,タタケ,叩ける,"('動詞', '一般', '*', '*', '下一段-カ行', '連用形-一般')",7,15,
2416,塩屋,シオヤ,塩屋,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,28,
2487,塩屋,シオヤ,塩屋,"('名詞', '普通名詞', '一般', '*', '*', '*')",13,28,
670,大湊,オオミナト,大湊,"('名詞', '固有名詞', '人名', '姓', '*', '*')",6,15,
2106,夫婦坂,メオトザカ,夫婦坂,"('名詞', '固有名詞', '一般', '*', '*', '*')",21,25,
2018,夫婦坂,メオトザカ,夫婦坂,"('名詞', '固有名詞', '一般', '*', '*', '*')",7,25,
2061,夫婦坂,メオトザカ,夫婦坂,"('名詞', '固有名詞', '一般', '*', '*', '*')",14,25,
543,奥飛騨,オクヒダ,奥飛騨,"('名詞', '固有名詞', '一般', '*', '*', '*')",15,13,
512,奥飛騨,オクヒダ,奥飛騨,"('名詞', '固有名詞', '一般', '*', '*', '*')",10,13,
485,奥飛騨,オクヒダ,奥飛騨,"('名詞', '固有名詞', '一般', '*', '*', '*')",5,13,
469,奥飛騨,オクヒダ,奥飛騨,"('名詞', '固有名詞', '一般', '*', '*', '*')",2,13,
