,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
231,いけ,イケ,いく,"('動詞', '非自立可能', '*', '*', '五段-カ行', '命令形')",1,11,1
232,ない,ナイ,ない,"('形容詞', '非自立可能', '*', '*', '形容詞', '終止形-一般')",1,11,1
233,と,ト,と,"('助詞', '格助詞', '*', '*', '*', '*')",1,11,0
234,肩,カタ,肩,"('名詞', '普通名詞', '一般', '*', '*', '*')",2,11,1
235,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",2,11,0
236,やさしく,ヤサシク,やさしい,"('形容詞', '一般', '*', '*', '形容詞', '連用形-一般')",2,11,"0,3"
237,抱きよせ,ダキヨセ,抱きよせる,"('動詞', '一般', '*', '*', '下一段-サ行', '連用形-一般')",2,11,4
238,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",2,11,0
239,あの,アノ,あの,"('連体詞', '*', '*', '*', '*', '*')",3,11,0
240,人,ヒト,人,"('名詞', '普通名詞', '一般', '*', '*', '*')",3,11,"0,2"
241,どう,ドウ,どう,"('副詞', '*', '*', '*', '*', '*')",3,11,1
242,し,シ,き,"('助動詞', '*', '*', '*', '文語助動詞-キ', '連体形-一般')",3,11,0
243,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",3,11,1
244,いる,イル,いる,"('動詞', '非自立可能', '*', '*', '上一段-ア行', '終止形-一般')",3,11,0
245,かしら,カシラ,かしら,"('助詞', '終助詞', '*', '*', '*', '*')",3,11,1
246,噂,ウワサ,噂,"('名詞', '普通名詞', 'サ変可能', '*', '*', '*')",4,11,0
247,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",4,11,1
248,きけ,キケ,きける,"('動詞', '一般', '*', '*', '下一段-カ行', '連用形-一般')",4,11,
249,ば,バ,ば,"('副詞', '*', '*', '*', '*', '*')",4,11,0
250,あ,ア,あ,"('感動詞', 'フィラー', '*', '*', '*', '*')",4,11,1
251,いたく,イタク,いたく,"('副詞', '*', '*', '*', '*', '*')",4,11,0
252,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",4,11,1
253,おもいで,オモイデ,おもいで,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,11,0
